Model,R-Squared,Mean Squared Error,Mean Absolute Error
LinearRegression,0.9974240419912442,338.88712797693086,13.022802592665366
KNeighborsRegressor,0.8988330270032461,13309.294952967548,69.29641011047616
DecisionTreeRegressor,0.6861654930643928,41287.34799013072,151.97539608500003
SVR,0.3590893929564254,84316.72960998959,213.7456590445161
Ridge,0.9820904280810648,2356.142208170468,41.22941856097094
RandomForestRegressor,0.9973253568542074,351.8699182827965,14.477994588128535
